,SFH3_HH_d,SFH4_HH_d,SFH5_HH_d,SFH7_HH_d,SFH9_HH_d,SFH12_HH_d,SFH14_HH_d,SFH16_HH_d,SFH18_HH_d,SFH19_HH_d,SFH20_HH_d,SFH21_HH_d,SFH22_HH_d,SFH27_HH_d,SFH28_HH_d,SFH29_HH_d,SFH30_HH_d,SFH32_HH_d,SFH34_HH_d,SFH36_HH_d,SFH38_HH_d,SFH39_HH_d
7922,1.7,5.0,7.393430634666329,0.7213903042899237,1.7,0.1541399162371956,5.0,0.4748363050036956,1.7,0.7753016668495711,2.9821318261888177,1.7,1.820930977225384,0.6567607008816001,0.808339360250366,1.7,0.0978367778513166,0.9096808059056591,1.7,0.43873178226322407,0.30334858339097764,1.7
7923,1.7,1.7798972252302727,8.69543430188581,0.1860879447301229,2.2581809941159348,0.49913519323931843,1.7,0.47374277773963147,1.7,0.7406461663723041,1.7,3.6212647853637154,5.0,0.10261050000720573,0.15687188883357583,1.7,0.09554405544863794,0.4246448341051736,4.847884056634095,0.13881772244771406,0.9209735827181076,1.7
7924,1.7,1.7,7.41090580122025,1.7,1.6845606703110536,0.20932430536217161,1.7,0.6421143879148694,5.0,1.7,1.7,5.0,5.0,0.5332104438357677,1.7,1.7,1.5430453580035115,1.7,1.7,0.3683316388765969,0.24478904187944206,1.7
7925,1.7,1.7,5.0,0.7019892504374177,1.7,0.17014788926177538,1.7,0.6302830267164452,1.7,1.7,4.371305839835252,1.7,1.7,1.7,0.6286434708774504,1.7,0.2169183329900104,0.1109721107694838,3.3750613329132246,0.2592262773699227,0.9129464418293358,1.1339172762282033
7926,1.7,1.7,5.0,0.3207445837656655,1.2069025843302397,0.5075959432601928,5.0,0.5667628886752655,1.7,1.7,2.8038465770397987,1.7,1.7,1.7,0.9252036675400195,1.7,0.7484776666005457,0.2293028058793809,1.7,0.3631185000366635,1.7,1.7
7927,1.7,5.0,5.0,1.4215154996024228,1.7,0.17886202773253124,4.439060089168276,1.3339731942070854,1.7,0.3097321384006075,5.0,1.7,4.300435937114294,1.7,0.7861056626134448,1.7,0.6202026656786594,1.7,3.113776391467437,0.6580675852457668,1.7,1.7
7928,1.7,2.967829765661887,3.8743664842616705,1.0975095857620223,1.7,0.20838486080699398,0.33007177749209937,0.4565833594004317,1.7,0.6418138600799765,1.7,2.104520498766015,1.7,0.9158099988884401,0.7652423038774075,1.7,0.1626581112649704,0.31193852799733524,1.6999996642840047,0.8663628311104251,0.3201545824686688,1.9586482433683998
7929,1.7,3.6977613746818045,1.7817993908034429,1.7,0.9569081925286187,1.1326852244271197,0.9043446958118011,0.4591637766096335,1.7,1.7,1.7606945034239025,1.7,1.7,0.4162504166656076,0.7800970833566444,1.7,0.6654389443635824,1.7,2.2027865909033753,0.7197669171068399,1.5206239677899918,1.7
7930,1.7,1.7,1.7,0.392574749501546,0.8115414166656462,1.7,1.7,0.4639892767588291,0.4836036664062079,0.5548203839481558,5.0,1.7,2.5444602493392043,0.36652758457395707,0.1743163332488801,0.3575374450789397,0.5045226383315204,1.1021250836047933,1.7,0.8453835543659012,1.7,1.7
7931,1.7,1.7,5.0,1.173212390836082,0.1990246942943995,1.7,0.3230804714838669,0.46916711084577734,0.5221131392134558,0.2711730004628497,1.7,1.7,1.7,0.31126119377083267,0.8490657525248002,1.6966036373456488,1.7,0.6381259438196811,1.7,0.5778728345500086,0.28258480504353845,1.7
7932,1.7,2.266289683777492,1.7,0.3957049738778027,1.7,0.9383844953848939,0.4327958900133769,1.5759448319753,0.4728836103677745,1.7,1.7,1.7,1.7,0.3349015843364927,1.7,0.3149903617117137,0.198848222268952,0.1472078891118418,1.7,0.6808305278062818,1.6630028037707092,1.421207415718503
7933,1.7,5.0,5.000001292586738,1.7,1.4010968623691147,0.32395925031503037,0.7811860412862568,0.12809580550723632,0.1926904719511673,1.7,3.625387020436993,1.7,1.7,0.3573996658537123,1.623338343195863,1.1670840277671832,0.6685475830660911,0.8371011946572455,3.2615160780509216,0.5431881949053879,1.5922612458811871,1.408018807061513
7934,1.7,4.7691729866660255,5.000001300642949,0.23048866674635082,0.4889281627431168,0.12757508312861088,1.1334008056110791,0.16234466542137937,0.4680818895286989,2.5800029723234936,5.0,1.7,1.7,1.068681412696839,1.6039191950718552,0.5651272233327238,0.5999874999655623,1.315645277574303,1.7,0.698697416332033,0.9265151648945196,1.0086042038328615
7935,1.377673502265083,2.2924085526890225,1.8001962752871967,1.015120531336466,1.7,1.7,1.1906255279964877,0.6144006948471078,0.3513018340216738,1.7,1.9272559964286053,1.7,1.7,0.3540737781710098,1.7,0.6041845556788981,0.4116727496941891,0.5192545276641841,1.7,0.9811257776180904,0.409410694207085,1.7
7936,1.7,1.7,1.7,0.5537321938832603,1.7,0.7862379422334682,1.2240350014680634,1.7,3.0902895709997944,3.596303083631726,1.7,1.7,3.7247012125719445,0.1687092219670614,1.7,3.0197424196703464,0.8685534440596915,1.7,1.7,0.4769725839402943,0.4497685265435114,1.7
7937,0.47888824594550794,1.7,5.0,1.7,1.0280576676038913,1.7,1.7,1.7,1.7,3.169595646008509,1.7,1.7,1.9841390627860653,1.7,1.6671130550208018,1.7,0.184995166397095,1.7,1.7,0.6873328885846779,1.7,1.7
7938,1.7,2.8850357232296173,3.9842737524529963,0.4800863339318166,0.5257008338928222,0.6662258325841705,2.097313782383716,0.2519299449920655,0.9843934153795244,3.9104485514949783,2.0904144964006104,1.5267143065234736,1.7,0.4462155547406883,1.7,5.0,0.8181476424747025,1.7,2.4268810220600545,1.7,0.7777548631085307,1.3386153994931134
7939,0.5039355571587858,5.0,5.0,0.5544964159959425,1.7,1.7,6.7907996101485235,1.7,0.6109543310244885,1.2617263045920268,4.146104784838363,1.7,1.7,1.7,1.7,3.315065890304278,0.5179949715005018,1.7,2.167208252864417,0.4083130559894692,1.7,0.38731241717868237
7940,0.1735210551685758,5.0,4.750620109252342,1.7,1.015105680653933,1.0038552760707002,7.410253185543945,0.2852845555199516,0.3787165286858874,0.37182888993157276,1.7,1.7,1.7,0.47581519537766126,1.7,1.7,1.49015664012697,1.7,0.616185033866472,0.4651224985890911,1.2058842739793996,1.7
