,cost_before_shift
0,2817.6046498710507
1,7228.597535754052
2,5597.176738019463
3,2895.371938393893
4,4093.7178752740915
5,3207.847977240679
6,4726.556109729218
7,2071.1878091104886
8,3033.4066020631562
9,2917.453093940836
10,6407.219018519303
11,3039.1644248763205
12,4675.570938554932
13,1470.644403045407
14,3701.5873005413164
15,2664.917387233981
16,1843.4297170814925
17,2608.3588254092824
18,4172.647369607915
19,2092.663652337026
20,3462.5374103994723
21,3272.313006187119
