,cost_after_shift
0,2750.823298821533
1,7059.320457667212
2,5456.153849025053
3,2847.1966619247296
4,4053.1051797641444
5,3164.3248838499203
6,4669.85683191889
7,2068.1093935712865
8,2983.095392722618
9,2877.993025398662
10,6325.502148024692
11,3018.3089104619444
12,4627.934293616514
13,1463.797488040327
14,3692.470699627232
15,2633.253039637458
16,1830.9822520645494
17,2577.043935639864
18,4140.75285990409
19,2092.841901266912
20,3433.3013990042127
21,3242.737027045012
