,cost_after_shift
0,2180.761316873963
1,8617.034354721762
2,5625.1659831658335
3,2267.560618700722
4,3695.4734746938057
5,3120.3588095113987
6,4848.992762889352
7,1629.8258701638251
8,2559.4433328705063
9,2295.57887936573
10,8182.362927677471
11,2541.1001013913506
12,4526.979711185266
13,1088.8471376870302
14,3389.0942601668476
15,2030.7637650691986
16,1290.5417830059434
17,1899.2014081237337
18,4021.754087232756
19,1470.5772631403415
20,2871.4433008126725
21,2654.1157794127043
