,cost_before_shift
0,2880.452329032419
1,8117.018226463992
2,5981.204536933995
3,3143.95065996387
4,4375.496736342777
5,3131.9576995874654
6,5120.761816151057
7,2173.467887969717
8,2747.60015865926
9,2742.356364183874
10,6981.091802688233
11,3341.0628309405997
12,5153.423205659861
13,1521.3133737985136
14,3933.2135077665084
15,2492.2715811045623
16,1771.959649763647
17,2525.8741907972835
18,4590.550868433328
19,1885.9919035715739
20,3502.2475447088523
21,3373.9643949472847
