,cost_after_shift
0,2216.363541951459
1,8691.047941671166
2,5697.07386022964
3,2295.026967680708
4,3718.2421407582447
5,3144.952699241233
6,4864.737818387849
7,1626.350616295447
8,2588.5481654615473
9,2320.5355772483404
10,8215.008178258358
11,2545.2701902794365
12,4543.590748386584
13,1092.491525614863
14,3380.750427597813
15,2038.3155674437328
16,1292.9850781846687
17,1914.141747598064
18,4030.1308018881996
19,1466.031643843859
20,2883.27970480169
21,2663.42267621783
